"";"fecha_hora";"humed_rel_promedio";"veloc_max_viento"
"1";"2023-10-03T00:00:00Z";83,7;0,9
"2";"2023-10-03T01:00:00Z";83,6;0,9
"3";"2023-10-03T02:00:00Z";83,6;0,6
"4";"2023-10-03T03:00:00Z";83,4;1,2
"5";"2023-10-03T04:00:00Z";83,1;0,2
"6";"2023-10-03T05:00:00Z";82,7;1
"7";"2023-10-03T06:00:00Z";82,6;0,8
"8";"2023-10-03T07:00:00Z";80,4;1,3
"9";"2023-10-03T08:00:00Z";75,1;0,6
"20";"2023-10-03T19:00:00Z";72,9;1
"21";"2023-10-03T20:00:00Z";75;0,7
"22";"2023-10-03T21:00:00Z";74,5;0,1
"23";"2023-10-03T22:00:00Z";77,7;0,1
"24";"2023-10-03T23:00:00Z";79;0,4
