station_id,fecha_hora,temp_promedio_aire,precipitacion_horaria,humed_rel_promedio,presion_atmosferica,radiacion_solar_max,veloc_max_viento,temp_minima,temp_maxima,direccion_del_viento,grados_dia,horas_frio
309,2023-10-03T00:00:00Z,15.2,0,83.7,956.2,0,0.9,15.2,15.2,283.7,660.55,NA
309,2023-10-03T01:00:00Z,15.3,0,83.6,956,0,0.9,15.2,15.3,283.5,NA,NA
309,2023-10-03T02:00:00Z,15.3,0,83.6,956,0,0.6,15.2,15.3,285,NA,NA
309,2023-10-03T03:00:00Z,15.2,0,83.4,956,0,1.2,15.1,15.3,291,NA,NA
309,2023-10-03T04:00:00Z,15.2,0,83.1,956,0,0.2,15.1,15.2,345.7,NA,NA
309,2023-10-03T05:00:00Z,15.1,0,82.7,956,0,1,15.1,15.2,290.8,NA,NA
309,2023-10-03T06:00:00Z,15.1,0,82.6,956,5.2,0.8,15.1,15.1,286.6,NA,NA
309,2023-10-03T07:00:00Z,15.3,0,80.4,956,47.1,1.3,15.2,15.5,286.3,NA,NA
309,2023-10-03T08:00:00Z,16.1,0,75.1,957,124.1,0.6,15.7,16.4,262.1,NA,NA
309,2023-10-03T09:00:00Z,17.4,0,68.5,957,351.9,0.9,16.8,18,258.5,NA,NA
309,2023-10-03T10:00:00Z,19.2,0,63.1,957,761.5,1.2,18.4,20.5,303.9,NA,NA
309,2023-10-03T11:00:00Z,21.4,0,56.2,956.2,845,1.7,20.9,22,316.4,NA,NA
309,2023-10-03T12:00:00Z,22.7,0,52.7,956,870,1.9,22.4,23,320.2,NA,NA
309,2023-10-03T13:00:00Z,23.7,0,50.3,955.2,869,2.1,23.6,23.9,317.6,NA,NA
309,2023-10-03T14:00:00Z,23.8,0,48.7,954,816,2.4,23.5,24,296.9,NA,NA
309,2023-10-03T15:00:00Z,24,0,48.6,953.2,695.6,2,23.4,24.4,303.4,NA,NA
309,2023-10-03T16:00:00Z,23,0,51.1,953,524.4,2,22.3,23.8,292.1,NA,NA
309,2023-10-03T17:00:00Z,21.1,0,55.8,953.5,320.4,2,19.9,21.9,301.7,NA,NA
309,2023-10-03T18:00:00Z,18.3,0,64.4,954.8,115.8,1.4,17.2,19.3,303.5,NA,NA
309,2023-10-03T19:00:00Z,16,0,72.9,955.8,0.8,1,15.5,16.6,290.1,NA,NA
309,2023-10-03T20:00:00Z,15.4,0,75,956.2,0,0.7,15.3,15.5,315.1,NA,NA
309,2023-10-03T21:00:00Z,15.5,0,74.5,957,0,0.1,15.5,15.6,308.2,NA,NA
309,2023-10-03T22:00:00Z,14.9,0,77.7,957,0,0.1,14.6,15.4,280.9,NA,NA
309,2023-10-03T23:00:00Z,14.9,0,79,956,0,0.4,14.6,15.3,296,NA,NA
